,Operator,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Latitude,Longitude,SPACING_CAPPED,12 month Cum Prod,Year Fracd,Month Fracd,Day Fracd,Formation,Compl. Type
97,Operator 1,5373.0,24,159,95,7,1472730.0,12155.0,20090315.0,48.6047976215059,-102.999166592876,647.799525,62.79,2009,3,15,TFH,P & P
98,Operator 1,9294.0,14,150,96,18,1014300.0,15435.0,20090419.0,47.8178650232166,-103.010361616214,660.0,62.81,2009,4,19,TFH,P & P
99,Operator 1,9276.0,5,159,95,18,112560.0,12510.0,20090422.0,48.6038007507293,-102.999658113591,600.37935,61.27,2009,4,22,TFH,P & P
100,Operator 1,9315.0,18,159,95,15,1488950.0,12495.0,20090424.0,48.6037866636213,-102.934258114115,650.87917,145.72,2009,4,24,TFH,P & P
101,Operator 1,3821.0,1,161,95,36,658560.0,8626.0,20090504.0,48.7343744147158,-102.941887204591,660.0,46.1,2009,5,4,TFH,P & P
102,Operator 1,8874.0,12,159,96,1,1395975.0,13479.2857142857,20090527.0,48.6326780536633,-103.021474700653,660.0,35.73,2009,5,27,TFH,P & P
103,Operator 1,9051.0,24,153,94,35,2602778.0,45134.0,20090727.0,48.0240908753073,-102.735904445015,458.628235,92.85,2009,7,27,TFH,P & P
104,Operator 1,10093.0,9,160,95,18,544740.0,15384.2857142857,20090729.0,48.6903605360059,-103.00962119663,660.0,53.31,2009,7,29,TFH,P & P
105,Operator 1,9074.0,14,151,96,15,1522710.0,18534.2857142857,20090812.0,47.9037956486555,-102.956934548682,660.0,59.54,2009,8,12,TFH,P & P
106,Operator 1,9057.0,9,161,95,35,1619415.0,18085.0,20090819.0,48.721566419791,-102.977774112161,660.0,74.14,2009,8,19,TFH,P & P
107,Operator 1,9215.0,14,145,95,5,1492486.6,18141.0,20090822.0,47.4147427380962,-102.816267204999,296.54763,51.99,2009,8,22,TFH,P & P
108,Operator 1,9828.0,16,152,94,3,1553160.0,19770.7142857143,20090826.0,48.0218192991939,-102.702710791951,657.59333,144.34,2009,8,26,TFH,P & P
109,Operator 1,9293.0,16,160,95,5,1722870.0,19610.0,20090925.0,48.7198255610611,-102.978174498001,655.278445,48.71,2009,9,25,TFH,P & P
110,Operator 1,9355.0,24,153,94,21,1988940.0,34366.2380952381,20090925.0,48.053210615819,-102.779411532887,656.11157,113.55,2009,9,25,TFH,P & P
111,Operator 1,8706.0,14,159,95,23,2012880.0,22566.4285714286,20091006.0,48.5761623493996,-102.923343408723,660.0,155.14,2009,10,6,TFH,P & P
112,Operator 1,8325.0,18,146,89,31,2012880.0,33700.3095238095,20091021.0,47.4156269074252,-102.071631027103,660.0,6.91,2009,10,21,MBH,P & P
113,Operator 1,9500.0,18,146,95,28,2079840.0,33508.4761904762,20091104.0,47.4440813560857,-102.783833461221,591.53738,85.37,2009,11,4,TFH,P & P
114,Operator 1,9368.0,18,146,96,7,2036160.0,36064.1428571429,20091117.0,47.4870543175055,-102.965442916387,660.0,54.57,2009,11,17,TFH,P & P
115,Operator 1,9119.0,15,160,95,34,2032260.0,27175.5238095238,20091129.0,48.6342913105066,-102.934379902658,660.0,100.22,2009,11,29,TFH,P & P
116,Operator 1,9373.0,24,153,94,36,2022186.0,32374.0,20091218.0,48.0241409970729,-102.714300683319,505.43572,186.42,2009,12,18,TFH,P & P
117,Operator 1,9217.0,6,159,95,28,1993110.0,34039.2857142857,20091229.0,48.5616894174481,-102.966101056436,660.0,111.07,2009,12,29,MBH,P & P
118,Operator 1,4852.0,15,152,94,2,1265000.0,27202.0,20100101.0,48.0226536443922,-102.68284104195,660.0,71.21,2010,1,1,MBH,CT
119,Operator 1,9145.0,20,159,95,1,1814564.0,34897.1904761905,20100104.0,48.6323489098478,-102.893410502213,579.119545,81.19,2010,1,4,MBH,P & P
120,Operator 1,9260.0,30,161,95,34,1972530.0,33107.5,20100106.0,48.7210878321155,-102.991642018816,594.575085,42.71,2010,1,6,MBH,P & P
121,Operator 1,9349.0,18,146,95,29,1991115.0,35731.119047619,20100110.0,47.4439374680606,-102.807761416573,370.559355,94.33,2010,1,10,MBH,P & P
122,Operator 1,9415.0,18,150,96,9,1845855.0,35631.5,20100131.0,47.8191465196935,-102.980260612842,648.59037,73.95,2010,1,31,TFH,P & P
123,Operator 1,9336.0,9,150,95,31,1845855.0,35631.5,20100213.0,47.7611347115678,-102.892924445025,613.111385,134.11,2010,2,13,TFH,P & P
124,Operator 1,9148.0,10,155,104,13,1978060.0,42547.0,20100216.0,48.2424037599734,-104.007459408904,660.0,73.1,2010,2,16,TFH,P & P
125,Operator 1,9327.0,32,159,95,25,1931720.0,41206.0,20100217.0,48.5746575281758,-102.8881548309,660.0,95.55,2010,2,17,TFH,P & P
126,Operator 1,9279.0,18,147,96,22,1889895.0,34712.2857142857,20100223.0,47.5448174682839,-102.901255473311,329.84243,217.18,2010,2,23,TFH,P & P
127,Operator 1,9450.0,18,145,95,3,1972170.0,34368.119047619,20100225.0,47.4149701027477,-102.773053470531,660.0,120.93,2010,2,25,TFH,P & P
128,Operator 1,9330.0,26,160,95,31,1847840.0,33049.0,20100309.0,48.6337371933472,-103.006354132727,660.0,39.43,2010,3,9,TFH,P & P
129,Operator 1,8821.0,24,151,96,31,2627059.0,47537.0,20100318.0,47.848219313944,-103.013554473915,525.362475,56.25,2010,3,18,MBH,P & P
130,Operator 1,9298.0,18,160,96,23,1967850.0,32932.0,20100319.0,48.6629489373555,-103.053184387021,660.0,81.6,2010,3,19,TFH,P & P
131,Operator 1,9215.0,18,151,97,27,1864033.0,22684.8571428571,20100323.0,47.8756267774247,-103.084468637708,660.0,54.68,2010,3,23,TFH,P & P
132,Operator 1,9438.0,24,160,96,17,2304073.0,46283.0,20100326.0,48.6906640429433,-103.107964150002,660.0,50.36,2010,3,26,TFH,P & P
133,Operator 1,9106.0,20,161,96,13,1941750.0,38171.9285714286,20100329.0,48.7777382700238,-103.075890399996,656.892755,72.28,2010,3,29,TFH,P & P
134,Operator 1,10100.0,24,155,104,24,2028217.0,41529.0,20100402.0,48.2406364752593,-104.009411591564,334.16934,62.4,2010,4,2,MBH,P & P
135,Operator 1,9015.0,10,159,95,7,1986409.0,40978.0,20100409.0,48.6048631592704,-102.996892142866,657.99546,78.39,2010,4,9,MBH,P & P
136,Operator 1,9154.0,18,160,96,26,2073516.0,30160.0,20100411.0,48.661194738946,-103.053328396293,634.786565,66.03,2010,4,11,TFH,P & P
137,Operator 1,9329.0,22,147,96,19,2002750.0,36875.0,20100414.0,47.5446923921432,-102.953848507095,660.0,59.03,2010,4,14,TFH,P & P
138,Operator 1,9060.0,22,150,97,24,1837740.0,38589.0,20100414.0,47.7907096106896,-103.041817734873,315.931165,64.5,2010,4,14,TFH,P & P
139,Operator 1,9201.0,24,160,95,20,2323140.0,11904.0,20100422.0,48.6759300048361,-102.988744430625,660.0,121.2,2010,4,22,MBH,P & P
140,Operator 1,9204.0,30,160,96,27,1968510.0,41363.0,20100426.0,48.661283999145,-103.062519016207,660.0,55.76,2010,4,26,TFH,P & P
141,Operator 1,9018.0,22,146,96,8,1941735.0,42721.0,20100426.0,47.48729934318,-102.934168776097,660.0,63.05,2010,4,26,TFH,P & P
142,Operator 1,8653.0,24,147,96,33,1879190.0,37911.0,20100509.0,47.515612034511,-102.921798111917,639.182955,73.2,2010,5,9,TFH,P & P
143,Operator 1,9128.0,24,160,96,3,1837530.0,42211.0,20100517.0,48.7190343186838,-103.063876606693,660.0,48.7,2010,5,17,TFH,P & P
144,Operator 1,9158.0,24,159,95,26,2338170.0,44746.0,20100520.0,48.5746411084934,-102.92334492914,660.0,118.37,2010,5,20,TFH,P & P
145,Operator 1,9359.0,24,149,96,29,2017676.0,44450.0,20100522.0,47.7025775465298,-102.998221029153,660.0,90.53,2010,5,22,TFH,P & P
146,Operator 1,9209.0,24,155,103,29,2093510.0,38981.0,20100527.0,48.2260564499884,-103.966102651651,660.0,65.71,2010,5,27,MBH,P & P
147,Operator 1,9198.0,24,160,95,7,2361960.0,43669.0,20100602.0,48.6921471077225,-103.013342795877,660.0,47.74,2010,6,2,TFH,P & P
148,Operator 1,9332.0,30,147,96,18,2130413.0,50459.0,20100604.0,47.5459220814303,-102.955053980798,485.181305,79.12,2010,6,4,TFH,P & P
149,Operator 1,9566.0,24,151,97,13,2121837.0,44372.0,20100608.0,47.9043735320214,-103.02942444749,660.0,57.47,2010,6,8,TFH,P & P
150,Operator 1,9130.0,24,161,95,32,2528310.0,43135.0,20100618.0,48.7211354538814,-103.03206225889,660.0,70.99,2010,6,18,TFH,P & P
151,Operator 1,9471.0,24,145,96,2,2110396.0,46594.0,20100618.0,47.4018624615307,-102.866661691781,660.0,71.95,2010,6,18,TFH,P & P
152,Operator 1,9587.0,24,161,95,14,2395710.0,44309.0,20100620.0,48.7777220946069,-102.966676445725,625.23952,86.4,2010,6,20,MBH,P & P
153,Operator 1,9077.0,24,152,95,23,2200414.0,43915.0,20100624.0,47.9638536926777,-102.806206881558,651.761505,134.5,2010,6,24,TFH,P & P
154,Operator 1,8926.0,18,146,98,1,2056542.0,42183.0,20100625.0,47.500063560521,-103.115015967364,660.0,51.12,2010,6,25,MBH,P & P
155,Operator 1,9629.0,24,160,95,10,2551191.0,44826.0,20100626.0,48.6918869458513,-102.944693027509,646.943705,111.35,2010,6,26,TFH,P & P
156,Operator 1,9512.0,24,160,96,24,2530200.0,43459.0,20100707.0,48.6628044608012,-103.023277882859,660.0,70.75,2010,7,7,MBH,P & P
157,Operator 1,9577.0,24,155,103,18,2207097.0,43378.0,20100707.0,48.2421997051283,-103.976236033324,660.0,64.43,2010,7,7,MBH,P & P
158,Operator 1,9532.0,24,161,95,7,2563856.0,43965.0,20100708.0,48.7792321409276,-103.066665018187,660.0,50.78,2010,7,8,TFH,P & P
159,Operator 1,9156.0,24,161,95,15,2500880.0,43911.0,20100717.0,48.7773227726292,-103.002100089811,660.0,56.07,2010,7,17,TFH,P & P
160,Operator 1,9610.0,24,160,95,9,2664620.0,44995.0,20100721.0,48.6922253449775,-102.967465616804,657.424225,78.28,2010,7,21,TFH,P & P
161,Operator 1,9302.0,24,153,94,35,2215159.0,45252.0,20100723.0,48.0248533385703,-102.738077700864,379.69962,86.14,2010,7,23,MBH,P & P
162,Operator 1,10193.0,24,152,94,3,2098549.0,44626.0,20100725.0,48.0220908459248,-102.704755395975,660.0,101.03,2010,7,25,MBH,P & P
163,Operator 1,9180.0,24,150,97,1,1964226.0,44510.0,20100726.0,47.8465819293472,-103.031207223082,660.0,48.25,2010,7,26,TFH,P & P
